"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT06","WT08","WT09"
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-01","12.30",,"0.00","0.0","0.0","52","55","39","  240","  230","28.0","36.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-02","2.46",,"0.00","0.0","0.0","44","56","34","  140","  110","8.1","11.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-03","8.28",,"0.00","0.0","0.0","48","61","38","  130","  140","18.1","25.1",,,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-04","10.51",,"0.03","0.0","0.0","62","71","58","  230","  230","25.1","35.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-05","19.46",,"0.00","0.0","0.0","68","75","61","  210","  200","35.1","48.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-06","10.96",,"0.02","0.0","0.0","65","70","50","  220","  230","25.1","34.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-07","6.26",,"0.00","0.0","0.0","53","60","46","  340","  340","14.1","19.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-08","9.40",,"0.00","0.0","0.0","50","62","42","  300","  290","18.1","23.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-09","6.71",,"0.00","0.0","0.0","47","56","37","  140","  140","16.1","19.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-10","8.72",,"0.76","0.0","0.0","52","59","47","  260","  260","23.0","33.1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-11","14.54",,"0.00","0.0","0.0","53","59","44","  280","  280","30.0","42.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-12","7.83",,"0.00","0.0","0.0","44","50","36","   20","   20","23.0","33.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-13","6.93",,"0.00","0.0","0.0","42","53","33","  110","  120","16.1","23.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-14","5.82",,"0.47","0.0","0.0","48","51","44","  140","  130","19.9","25.1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-15","7.38",,"0.00","0.0","0.0","49","51","47","  300","  300","14.1","31.1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-16","5.14",,"0.00","0.0","0.0","48","51","46","  190","  190","17.0","17.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-17","12.30",,"0.03","0.0","0.0","49","55","45","  180","  180","17.0","17.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-18","4.47",,"0.00","0.0","0.0","51","58","40","  110","  110","8.1","8.1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-19","10.07",,"0.15","0.0","0.0","55","61","47","  150","  110","19.9","21.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-20","7.38",,"0.17","0.0","0.0","46","50","37","  270","  270","30.0","38.9","    1","    1","    1",,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-21","10.29",,"0.08","0.2","0.0","35","38","32","  220","  220","19.9","25.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-22","13.42",,"0.01","0.0","0.0","39","46","33","  330","  340","21.9","31.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-23","10.07",,"0.00","0.0","0.0","44","46","42","  310","  290","18.1","23.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-24","8.50",,"0.00","0.0","0.0","42","43","40","  220","  220","15.0","16.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-25","6.49",,"0.04","0.0","0.0","45","51","41","  280","  270","19.9","28.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-26","15.43",,"0.00","0.0","0.0","44","50","33","  260","  290","28.0","40.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-27","4.70",,"0.04","0.0","0.0","36","47","31","  130","  120","8.9","14.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-28","9.62",,"0.00","0.0","0.0","38","42","33","  290","  310","18.1","25.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-29","15.66",,"0.10","1.5","1.2","31","33","24","  240","  240","23.9","33.1","    1",,,,,"    1","    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-11-30","15.88",,"0.00","0.1","1.2","24","26","23","  230","  240","21.9","30.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-01","10.51",,"0.00","0.1","1.2",,"30","23","  270","  260","19.9","25.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-02","9.62"," 1512","0.00","0.0","1.0",,"37","22","  270","  270","15.0","18.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-03","10.51"," 2244","0.00","0.0","0.0",,"35","21","  210","  210","23.0","28.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-04","19.69"," 2332","0.03","0.4","0.0",,"38","24","  280","  280","30.0","45.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-05","17.45"," 0205","0.00","0.1","0.0",,"31","19","  270","  260","32.0","45.0",,,,,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-06","13.42"," 1418","0.00","0.1","0.0",,"35","19","  240","  230","23.0","31.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-07","15.88"," 1947","0.00","0.0","0.0",,"42","28","  220","  210","31.1","45.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-08","8.50"," 0011","0.00","0.0","0.0",,"52","34","  220","  220","21.9","30.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-09","8.05"," 1146","0.86","0.0","0.0",,"51","37","  230","  230","17.0","23.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-10","4.92"," 1854","0.00","0.0","0.0",,"50","33","  250","  310","10.1","14.1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-11","14.54"," 2324","0.01","0.4","0.0",,"37","24","  260","  260","28.0","40.0",,,,,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-12","17.00"," 0222","0.01","0.8","1.0",,"24","13","  240","  250","30.0","38.9",,,,,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-13","4.25"," 0016","0.02","0.0","1.0",,"23","10","  220","  220","12.1","14.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-14","7.38"," 1736","0.00","0.0","1.0",,"37","15","  100","   90","14.1","21.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-15","6.71"," 0822","1.39","0.0","0.0",,"46","34","  130","  130","14.1","21.0",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-16","10.29"," 2146","0.19","0.0","0.0",,"54","39","  260","  270","25.1","38.9",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-17","11.63"," 0033","0.00","0.0","0.0",,"45","37","  260","  260","28.0","38.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-18","6.26"," 1647","0.00","0.0","0.0",,"45","33","  290","  290","18.1","23.0","    1",,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-19","5.14"," 0006","0.00","0.0","0.0",,"33","29","  300","  290","15.0","19.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-20","9.40"," 2028","0.07","1.1","0.0",,"33","25","   10","  330","21.0","27.1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-21","8.50"," 1025","0.00","0.0","1.0",,"27","15","  320","  350","18.1","23.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-22","5.37"," 1355","0.00","0.0","0.0",,"28","11","  170","  170","13.0","17.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-23","10.29"," 1036","0.19","0.6","0.0",,"34","25","  160","  160","17.0","28.0","    1",,"    1",,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-24","4.47"," 0024","0.00","0.0","0.0",,"36","33","  230","  230","10.1","14.1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-25","3.58"," 1320","0.00","0.0","0.0",,"37","31","  110","  130","10.1","14.1","    1",,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-26","5.14"," 1739","0.00","0.0","0.0",,"42","36","  130","  110","10.1","15.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-27","6.49"," 2114","0.09","0.0","0.0",,"47","37","  130","  130","15.0","23.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-28","12.08"," 1103","0.02","0.0","0.0",,"58","42","  210","  220","28.0","36.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-29","11.18"," 2319","1.43","0.0","0.0",,"46","38","  300","  300","23.9","36.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-30",," 1416","0.23","0.0","0.0",,"49","34","  240","  240","21.0","28.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2024-12-31",,,"0.08","0.0","0.0",,"42","33",,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-01","13.20"," 1236","0.01","0.0","0.0","34","37","30","  260","  250","21.9","28.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-02","13.42"," 0928","0.00","0.1","0.0","29","30","27","  280","  270","21.0","29.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-03","13.65"," 1605","0.00","0.4","0.0","27","28","23","  290","  280","23.9","32.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-04","14.99"," 1407","0.00","0.0","0.0","22","25","19","  270","  310","21.9","31.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-05","8.28"," 1014","0.00","0.0","0.0","20","27","12","  300","  290","16.1","23.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-06","12.30"," 1352","0.01","0.1","0.0","23","28","21","   10","  340","23.0","31.1","    1",,,,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-07","10.74"," 0745","0.00","0.0","0.0","24","30","21","  320","  330","21.0","31.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-08","8.50"," 0955","0.00","0.0","0.0","24","26","16","  300","  330","16.1","25.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-09","5.82"," 1856","0.00","0.0","0.0","17","28","7","  210","  220","13.0","17.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-10","8.28"," 1344","0.16","3.2","0.0","20","26","15","  190","  190","18.1","23.9","    1",,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-11","7.16"," 1245","0.04","0.5","4.0","25","34","17","  290","  280","15.0","19.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-12","12.30"," 2042","0.02","0.6","3.0","29","34","23","  210","  200","23.0","30.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-13","16.11"," 0024","0.00","0.0","3.0","27","34","16","  230","  230","29.1","36.0",,,,,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-14","10.96"," 1622","0.03","0.8","3.0","16","20","9","  310","  300","21.0","28.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-15","11.86"," 2327","0.00","0.0","4.0","15","26","8","  220","  210","21.0","27.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-16","11.41"," 0159","0.05","1.4","4.0","20","32","10","  220","  210","21.9","29.1","    1",,,,,"    1","    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-17","13.42"," 1409","0.00","0.0","4.0","31","38","20","  190","  190","23.0","30.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-18","12.53"," 1201","0.24","0.0","2.0","34","38","20","  220","  340","23.0","25.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-19","8.95"," 2302","0.00","0.0","2.0","20","22","8","  300","  290","18.1","23.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-20","14.32"," 1554","0.00","0.0","2.0","9","13","5","  240","  220","23.9","32.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-21","12.30"," 1108","0.00","0.0","2.0","7","10","0","  280","  220","21.0","27.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-22","13.20"," 1541","0.01","0.1","2.0","3","16","-3","  170","  190","19.9","25.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-23","10.51"," 1914","0.07","1.4","2.0","19","26","13","  300","  290","18.1","21.9","    1",,,,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-24","7.83"," 1311","0.08","0.1","3.0","17","23","8","  240","  230","15.0","19.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-25","13.87"," 2021","0.00","0.0","3.0","21","35","11","  220","  220","25.9","36.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-26","11.41"," 0140","0.00","0.0","2.0","29","32","21","  270","  270","21.9","34.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-27","19.46"," 1533","0.00","0.0","2.0","25","38","18","  230","  230","32.0","52.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-28","15.21"," 1905","0.00","0.0","1.0","34","41","19","  220","  220","31.1","42.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-29","12.30"," 1401","0.00","0.0","1.0","39","43","25","  280","  270","25.1","36.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-30","7.38"," 1549","0.00","0.0","0.0","32","46","23","  200","  200","16.1","21.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-01-31","9.40"," 2117","0.60","0.2","0.0","38","40","27","   10","   10","30.0","40.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-01","8.28",,"0.00","0.0","0.0","26","28","20","   10","   20","15.0","21.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-02","4.92",,"0.05","0.8","0.0","25","31","22","   90","   90","15.0","23.9","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-03","4.92",,"0.00","0.0","1.2","35","43","31","  360","  350","21.0","25.9","    1","    1",,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-04","8.95",,"0.00","0.0","0.0","30","33","22","  320","  360","15.0","23.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-05","6.71",,"0.00","0.0","0.0","23","27","19","   80","   90","15.0","23.0",,,,,"    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-06","12.75",,"0.07","0.0","0.0","29","33","26","  270","  290","25.9","36.9","    1",,"    1",,"    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-07","11.63",,"0.00","0.0","0.0","25","32","16","  270","  270","30.0","42.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-08","6.93",,"0.09","1.1","0.0","25","29","22","   30","   40","17.0","23.9","    1",,,"    1","    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-09","9.40",,"0.00","0.0","1.2","26","31","17","  290","  290","16.1","25.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-10","6.49",,"0.00","0.0","1.2","21","33","11","  280","  280","17.0","21.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-11","4.47",,"0.00","0.0","1.2","24","34","16","   40","   40","12.1","15.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-12","10.29",,"0.14","1.5","0.0","24","27","21","   50","   50","18.1","27.1","    1",,,,"    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-13","13.20",,"0.12","2.3","3.9","25","31","19","  260","  260","25.9","36.9","    1",,"    1",,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-14","7.38",,"0.00","0.0","3.9","17","22","6","  220","  260","16.1","21.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-15","4.92",,"0.16","1.6","3.1","26","33","21","  110","  100","12.1","16.1","    1",,,,"    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-16","13.65",,"0.16","3.1","5.9","29","32","21","  290","  310","28.0","38.9","    1",,"    1",,"    1","    1","    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-17","16.11",,"0.01","0.4","7.1","19","22","7","  240","  240","29.1","44.1","    1",,,,,"    1","    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-18","8.95",,"0.00","0.0","7.1","9","17","0","  250","  250","19.9","25.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-19","6.04",,"0.01","0.2","5.9","11","17","2","  300","  270","10.1","16.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-20","8.50",,"0.06","0.7","5.9","17","22","13","  300","  300","17.0","23.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-21","9.40",,"0.00","0.0","5.9","24","33","22","  230","  310","16.1","23.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-22","14.99",,"0.00","0.0","5.1","23","30","16","  220","  220","23.9","30.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-23","8.50",,"0.00","0.0","5.1","28","35","20","  200","  210","13.0","17.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-24","15.21",,"0.00","0.0","3.9","37","48","29","  220","  200","31.1","42.9",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-25","9.62",,"0.14","0.0","2.0","44","56","35","  280","  310","16.1","21.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-26","3.36",,"0.22","0.5","0.0","36","38","28","  180","  180","12.1","14.1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-27","7.38",,"0.03","0.0","0.0","38","47","34","  300","  290","8.9","13.0","    1","    1",,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-02-28","14.76",,"0.00","0.0","0.0","38","55","27","  210","  220","35.1","45.0",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-03-01","15.66",,"0.00","0.0","0.0","32","41","21","  320","  330","25.1","38.9",,,,,,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-03-02","6.71",,"0.00","0.0","0.0","23","32","15","  250","  280","15.0","25.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-03-03","9.40",,"0.00","0.0","0.0","28","39","18","  200","  220","19.9","25.1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-03-04","6.71",,"0.20","0.0","0.0","39","51","32","  200","  200","19.9","23.9","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-03-05","17.22",,"0.66","0.0","0.0","48","56","34","  210","  200","30.0","40.0","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2025-03-06","18.34"," 0539","0.00","0.2","0.0","36","38","27","  290","  300","29.1","42.1",,,,,,,"    1"